
time 03h 46m 03s, episodes 6696, frames 47.9 M, mean_epr 7.47, run_loss -177.93

	48M frames: saved model

time 03h 47m 03s, episodes 6719, frames 48.1 M, mean_epr 8.11, run_loss -179.46
time 03h 48m 03s, episodes 6739, frames 48.3 M, mean_epr 8.49, run_loss -177.72
time 03h 49m 03s, episodes 6762, frames 48.5 M, mean_epr 8.34, run_loss -179.29
time 03h 50m 03s, episodes 6781, frames 48.7 M, mean_epr 8.36, run_loss -176.97
time 03h 51m 03s, episodes 6802, frames 48.9 M, mean_epr 7.99, run_loss -177.17
time 03h 52m 03s, episodes 6824, frames 49.2 M, mean_epr 7.57, run_loss -179.17
time 03h 53m 03s, episodes 6846, frames 49.4 M, mean_epr 7.44, run_loss -178.99
time 03h 54m 03s, episodes 6865, frames 49.6 M, mean_epr 7.56, run_loss -176.77
time 03h 55m 03s, episodes 6887, frames 49.8 M, mean_epr 7.60, run_loss -178.77
time 03h 56m 03s, episodes 6907, frames 50.0 M, mean_epr 7.75, run_loss -179.25

	50M frames: saved model

time 03h 57m 03s, episodes 6929, frames 50.2 M, mean_epr 7.95, run_loss -178.72
time 03h 58m 03s, episodes 6950, frames 50.4 M, mean_epr 7.77, run_loss -180.13
time 03h 59m 03s, episodes 6971, frames 50.6 M, mean_epr 7.96, run_loss -178.27
time 04h 00m 03s, episodes 6992, frames 50.8 M, mean_epr 8.14, run_loss -178.88
time 04h 01m 03s, episodes 7013, frames 51.0 M, mean_epr 8.60, run_loss -179.34
time 04h 02m 03s, episodes 7033, frames 51.2 M, mean_epr 8.65, run_loss -180.56
time 04h 03m 03s, episodes 7053, frames 51.4 M, mean_epr 8.79, run_loss -180.82
time 04h 04m 03s, episodes 7074, frames 51.6 M, mean_epr 9.41, run_loss -175.86
time 04h 05m 03s, episodes 7094, frames 51.8 M, mean_epr 9.67, run_loss -175.93

	52M frames: saved model

time 04h 06m 03s, episodes 7116, frames 52.0 M, mean_epr 9.89, run_loss -175.96
time 04h 07m 03s, episodes 7138, frames 52.3 M, mean_epr 10.27, run_loss -174.75
time 04h 08m 03s, episodes 7160, frames 52.5 M, mean_epr 10.89, run_loss -174.62
time 04h 09m 03s, episodes 7181, frames 52.7 M, mean_epr 11.06, run_loss -175.29
time 04h 10m 03s, episodes 7200, frames 52.9 M, mean_epr 11.11, run_loss -174.11
time 04h 11m 03s, episodes 7221, frames 53.1 M, mean_epr 10.40, run_loss -176.62
time 04h 12m 03s, episodes 7242, frames 53.3 M, mean_epr 10.31, run_loss -177.85
time 04h 13m 03s, episodes 7263, frames 53.5 M, mean_epr 10.48, run_loss -176.20
time 04h 14m 03s, episodes 7284, frames 53.7 M, mean_epr 10.34, run_loss -178.09
